link_id,from_node_id,to_node_id,length
1a,1,4369,0.092170398
1b,4369,1,0.092170398
3a,1,4205,0.061442789
3b,4205,1,0.061442789
5a,1,2524,0.146747338
5b,2524,1,0.146747338
7a,2,3,0.038475224
7b,3,2,0.038475224
9a,2,4164,0.056491474
9b,4164,2,0.056491474
11a,2,4388,0.057032092
11b,4388,2,0.057032092
13a,3,2,0.038475224
13b,2,3,0.038475224
15a,4,1396,0.134847528
15b,1396,4,0.134847528
17a,4,1396,0.160901588
17b,1396,4,0.160901588
19a,4,4127,0.038601989
19b,4127,4,0.038601989
21a,5,1184,0.19570993
21b,1184,5,0.19570993
23a,5,1184,0.089239254
23b,1184,5,0.089239254
25a,5,4283,0.053841824
25b,4283,5,0.053841824
27a,6,1144,0.098127138
27b,1144,6,0.098127138
29a,6,128,0.036653279
29b,128,6,0.036653279
31a,6,8,0.11536291
31b,8,6,0.11536291
33,7,3535,0.036266147
34a,8,9,0.066661928
34b,9,8,0.066661928
36a,8,6,0.11536291
36b,6,8,0.11536291
38a,8,4172,0.071888523
38b,4172,8,0.071888523
40a,9,28,0.018271024
40b,28,9,0.018271024
42a,9,10,0.069182326
42b,10,9,0.069182326
44a,9,8,0.066661928
44b,8,9,0.066661928
46a,10,700,0.048059697
46b,700,10,0.048059697
48a,10,11,0.032209648
48b,11,10,0.032209648
50a,10,9,0.069182326
50b,9,10,0.069182326
52a,11,1863,0.048062804
52b,1863,11,0.048062804
54a,11,10,0.032209648
54b,10,11,0.032209648
56a,11,3971,0.247268109
56b,3971,11,0.247268109
58a,12,4714,0.06530044
58b,4714,12,0.06530044
60a,12,14,0.175516916
60b,14,12,0.175516916
62a,12,3979,0.248378551
62b,3979,12,0.248378551
64a,12,988,0.022417626
64b,988,12,0.022417626
66a,13,2835,0.045658608
66b,2835,13,0.045658608
68,13,1112,0.035050067
69a,14,12,0.175516916
69b,12,14,0.175516916
71a,14,3979,0.074266621
71b,3979,14,0.074266621
73a,14,4241,0.072405528
73b,4241,14,0.072405528
75a,15,3099,0.097319318
75b,3099,15,0.097319318
77a,15,3952,0.065116506
77b,3952,15,0.065116506
79a,15,4190,0.068093012
79b,4190,15,0.068093012
81,16,3857,0.023390739
82a,16,1012,0.071455407
82b,1012,16,0.071455407
84a,17,3949,0.066729039
84b,3949,17,0.066729039
86a,17,2140,0.069759607
86b,2140,17,0.069759607
88a,17,18,0.09898902
88b,18,17,0.09898902
90a,17,3098,0.096307058
90b,3098,17,0.096307058
92a,18,20,0.09781706
92b,20,18,0.09781706
94a,18,3948,0.070505908
94b,3948,18,0.070505908
96a,18,4191,0.06997834
96b,4191,18,0.06997834
98a,18,17,0.09898902
98b,17,18,0.09898902
100a,19,4258,0.010099614
100b,4258,19,0.010099614
102a,20,21,0.100864405
102b,21,20,0.100864405
104a,20,18,0.09781706
104b,18,20,0.09781706
106a,20,3947,0.071974898
106b,3947,20,0.071974898
108a,20,4193,0.070110698
108b,4193,20,0.070110698
110a,21,20,0.100864405
110b,20,21,0.100864405
112a,21,3945,0.070914789
112b,3945,21,0.070914789
114a,21,4711,0.020999592
114b,4711,21,0.020999592
116a,22,1986,0.245608971
116b,1986,22,0.245608971
118a,22,23,0.098503707
118b,23,22,0.098503707
120a,22,1142,0.098711254
120b,1142,22,0.098711254
122a,23,3523,0.247581916
122b,3523,23,0.247581916
124a,23,22,0.098503707
124b,22,23,0.098503707
126a,23,757,0.070701649
126b,757,23,0.070701649
128a,23,24,0.09839869
128b,24,23,0.09839869
130a,24,1988,0.2487197
130b,1988,24,0.2487197
132a,24,26,0.100976879
132b,26,24,0.100976879
134a,24,23,0.09839869
134b,23,24,0.09839869
136a,25,3956,0.096023078
136b,3956,25,0.096023078
138a,25,1810,0.138841888
138b,1810,25,0.138841888
140a,25,665,0.060943805
140b,665,25,0.060943805
142a,26,1991,0.248878157
142b,1991,26,0.248878157
144a,26,24,0.100976879
144b,24,26,0.100976879
146a,26,27,0.096156057
146b,27,26,0.096156057
148a,27,26,0.096156057
148b,26,27,0.096156057
150,27,3676,0.106428421
151a,28,9,0.018271024
151b,9,28,0.018271024
153a,29,1962,0.420719491
153b,1962,29,0.420719491
155,29,1995,0.242956836
156a,30,252,0.069310956
156b,252,30,0.069310956
158a,30,4012,0.213886501
158b,4012,30,0.213886501
160a,30,846,0.031878441
160b,846,30,0.031878441
162a,31,3756,0.141038537
162b,3756,31,0.141038537
164a,32,4021,0.197823311
164b,4021,32,0.197823311
166a,32,37,0.114290374
166b,37,32,0.114290374
168a,32,846,0.105416782
168b,846,32,0.105416782
170a,33,35,0.088235693
170b,35,33,0.088235693
172a,33,1207,0.137639479
172b,1207,33,0.137639479
174a,33,730,0.053919499
174b,730,33,0.053919499
176a,33,860,0.195799412
176b,860,33,0.195799412
178a,34,4756,0.165408602
178b,4756,34,0.165408602
180a,34,2245,0.047053651
180b,2245,34,0.047053651
182a,34,1705,0.072125277
182b,1705,34,0.072125277
184a,35,33,0.088235693
184b,33,35,0.088235693
186a,35,3855,0.082194442
186b,3855,35,0.082194442
188a,35,4448,0.050371305
188b,4448,35,0.050371305
190a,36,3856,0.041868689
190b,3856,36,0.041868689
192a,37,4022,0.171408219
192b,4022,37,0.171408219
194a,37,4023,0.235337851
194b,4023,37,0.235337851
196a,37,32,0.114290374
196b,32,37,0.114290374
198a,38,3740,0.120811345
198b,3740,38,0.120811345
200a,38,401,0.024755333
200b,401,38,0.024755333
202a,38,53,0.08298797
202b,53,38,0.08298797
204a,39,3714,0.104346109
204b,3714,39,0.104346109
206a,39,42,0.067926477
206b,42,39,0.067926477
208a,39,451,0.061822465
208b,451,39,0.061822465
210a,40,2643,0.09702291
210b,2643,40,0.09702291
212a,41,2247,0.085845789
212b,2247,41,0.085845789
